"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 01, 2019","314.87","314.59","315.31","307.13","290.21M","0.18%"
"Nov 24, 2019","314.31","311.98","315.48","311.98","167.88M","1.08%"
"Nov 17, 2019","310.96","311.53","312.69","309.06","296.47M","-0.27%"
"Nov 10, 2019","311.79","307.42","311.84","307.27","251.59M","0.92%"
"Nov 03, 2019","308.94","307.85","309.65","306.06","253.37M","0.91%"
"Oct 27, 2019","306.14","302.94","306.19","301.73","276.27M","1.51%"
"Oct 20, 2019","301.60","299.42","302.20","298.50","204.64M","1.22%"
"Oct 13, 2019","297.97","295.93","300.24","295.57","250.07M","0.57%"
"Oct 06, 2019","296.28","293.47","298.74","288.49","386.42M","0.66%"
"Sep 29, 2019","294.35","295.97","298.45","284.82","419.59M","-0.36%"
"Sep 22, 2019","295.40","297.55","299.84","293.69","361.85M","-0.97%"
"Sep 15, 2019","298.28","299.84","302.63","297.41","350.84M","-0.93%"
"Sep 08, 2019","301.09","299.14","302.46","295.97","313.04M","1.02%"
"Sep 01, 2019","298.05","290.57","298.83","289.27","249.18M","1.91%"
"Aug 25, 2019","292.45","287.27","294.24","285.25","321.70M","2.67%"
"Aug 18, 2019","284.85","292.19","293.93","283.47","356.07M","-1.38%"
"Aug 11, 2019","288.85","289.96","294.15","282.39","483.70M","-0.95%"
"Aug 04, 2019","291.62","288.09","293.62","281.72","621.47M","-0.34%"
"Jul 28, 2019","292.62","301.88","301.93","290.90","447.62M","-3.11%"
"Jul 21, 2019","302.01","297.61","302.23","297.04","236.04M","1.63%"
"Jul 14, 2019","297.17","301.13","301.13","296.70","241.36M","-1.16%"
"Jul 07, 2019","300.65","297.01","300.73","295.48","236.78M","0.73%"
"Jun 30, 2019","298.46","296.68","298.82","294.33","233.19M","1.86%"
"Jun 23, 2019","293.00","294.23","294.58","290.35","280.90M","-0.34%"
"Jun 16, 2019","294.00","289.52","296.31","289.18","403.19M","1.64%"
"Jun 09, 2019","289.26","289.37","291.40","287.81","267.81M","0.56%"
"Jun 02, 2019","287.65","275.31","288.85","273.09","388.53M","4.50%"
"May 26, 2019","275.27","283.09","284.15","275.24","324.39M","-2.66%"
"May 19, 2019","282.78","284.06","286.93","280.57","313.21M","-1.07%"
"May 12, 2019","285.84","282.42","289.21","279.93","455.35M","-0.78%"
"May 05, 2019","288.10","289.25","293.31","282.30","559.40M","-2.02%"
"Apr 28, 2019","294.03","293.51","294.95","289.52","331.56M","0.21%"
"Apr 21, 2019","293.41","289.17","293.49","289.07","251.49M","1.17%"
"Apr 14, 2019","290.02","290.24","291.43","288.66","228.73M","-0.05%"
"Apr 07, 2019","290.16","288.10","290.47","286.70","297.13M","0.55%"
"Mar 31, 2019","288.57","284.70","288.63","284.40","293.55M","2.16%"
"Mar 24, 2019","282.48","278.87","282.84","277.64","364.35M","1.16%"
"Mar 17, 2019","279.25","281.55","285.18","279.18","439.29M","-0.73%"
"Mar 10, 2019","281.31","275.26","282.38","275.23","374.23M","2.50%"
"Mar 03, 2019","274.46","281.60","281.87","272.42","421.33M","-2.13%"
"Feb 24, 2019","280.42","280.73","281.31","277.48","330.95M","0.46%"
"Feb 17, 2019","279.14","276.48","279.36","276.35","278.06M","0.64%"
"Feb 10, 2019","277.37","271.20","277.41","270.03","385.89M","2.55%"
"Feb 03, 2019","270.47","270.11","273.44","267.83","369.92M","0.15%"
"Jan 27, 2019","270.06","263.39","271.20","261.79","434.02M","1.61%"
"Jan 20, 2019","265.78","264.82","266.70","260.66","357.65M","-0.26%"
"Jan 13, 2019","266.46","256.86","266.98","256.41","457.77M","2.89%"
"Jan 06, 2019","258.98","252.69","259.16","251.69","471.34M","2.61%"
"Dec 30, 2018","252.39","249.56","253.11","243.67","557.99M","1.87%"
"Dec 23, 2018","247.75","239.04","251.40","233.76","705.16M","2.93%"
"Dec 16, 2018","240.70","259.40","260.65","239.98","1.02B","-7.59%"
"Dec 09, 2018","260.47","263.37","269.00","258.62","584.55M","-1.18%"
"Dec 02, 2018","263.57","280.28","280.40","262.44","646.21M","-4.38%"
"Nov 25, 2018","275.65","265.78","276.28","265.34","463.66M","4.71%"
"Nov 18, 2018","263.25","273.05","273.38","263.07","357.45M","-3.83%"
"Nov 11, 2018","273.73","277.19","277.46","267.01","584.96M","-1.45%"
"Nov 04, 2018","277.76","272.44","281.22","271.35","392.86M","2.16%"
"Oct 28, 2018","271.89","268.80","275.23","259.85","668.29M","2.47%"
"Oct 21, 2018","265.33","277.00","277.36","262.29","746.21M","-3.95%"
"Oct 14, 2018","276.25","275.55","281.15","274.30","605.60M","0.11%"
"Oct 07, 2018","275.95","287.05","288.86","270.36","834.84M","-4.12%"
"Sep 30, 2018","287.82","292.11","293.21","286.22","391.53M","-1.00%"
"Sep 23, 2018","290.72","291.34","292.24","289.41","306.86M","-0.43%"
"Sep 16, 2018","291.99","290.82","293.94","289.03","385.10M","0.38%"
"Sep 09, 2018","290.88","288.74","291.27","286.98","266.67M","1.14%"
"Sep 02, 2018","287.60","289.84","290.21","286.71","269.48M","-0.93%"
"Aug 26, 2018","290.31","288.86","291.74","288.68","292.87M","0.97%"
"Aug 19, 2018","287.51","285.57","287.67","285.06","258.77M","0.86%"
"Aug 12, 2018","285.06","283.47","285.56","280.16","348.09M","0.67%"
"Aug 05, 2018","283.16","283.64","286.01","282.36","237.51M","-0.16%"
"Jul 29, 2018","283.60","281.51","283.66","279.16","303.53M","0.77%"
"Jul 22, 2018","281.42","279.45","284.37","279.06","328.66M","0.62%"
"Jul 15, 2018","279.68","279.64","281.18","278.41","288.89M","0.03%"
"Jul 08, 2018","279.59","276.55","279.93","276.50","287.93M","1.51%"
"Jul 01, 2018","275.42","269.51","275.84","269.24","229.16M","1.53%"
"Jun 24, 2018","271.28","273.44","273.87","268.49","485.89M","-1.26%"
"Jun 17, 2018","274.74","275.49","276.72","273.53","331.91M","-0.86%"
"Jun 10, 2018","277.13","278.44","279.48","275.35","407.43M","-0.38%"
"Jun 03, 2018","278.19","274.53","278.28","274.18","304.36M","1.68%"
"May 27, 2018","273.60","270.31","273.94","267.76","350.37M","0.53%"
"May 20, 2018","272.15","273.01","274.25","270.78","308.10M","0.30%"
"May 13, 2018","271.33","273.34","274.08","270.03","316.67M","-0.56%"
"May 06, 2018","272.85","266.89","273.15","265.15","314.41M","2.57%"
"Apr 29, 2018","266.02","267.26","267.89","259.05","470.29M","-0.20%"
"Apr 22, 2018","266.56","267.26","267.98","260.85","407.07M","-0.02%"
"Apr 15, 2018","266.61","267.00","271.30","265.61","363.00M","0.55%"
"Apr 08, 2018","265.15","261.37","267.54","259.94","456.13M","2.09%"
"Apr 01, 2018","259.72","262.55","266.64","254.67","692.13M","-1.30%"
"Mar 25, 2018","263.15","262.13","266.77","258.58","542.59M","1.98%"
"Mar 18, 2018","258.05","273.35","274.40","257.83","580.00M","-5.89%"
"Mar 11, 2018","274.20","279.20","280.41","274.14","453.57M","-1.67%"
"Mar 04, 2018","278.87","267.73","278.87","267.61","444.11M","3.64%"
"Feb 25, 2018","269.08","275.93","278.92","264.82","623.44M","-2.05%"
"Feb 18, 2018","274.71","272.03","274.72","269.64","388.53M","0.59%"
"Feb 11, 2018","273.11","263.83","275.32","261.66","617.32M","4.44%"
"Feb 04, 2018","261.50","273.45","275.85","252.92","1.35B","-5.06%"
"Jan 28, 2018","275.45","285.93","286.43","275.41","604.14M","-3.88%"
"Jan 21, 2018","286.58","280.17","286.63","280.11","515.55M","2.20%"
"Jan 14, 2018","280.41","279.35","280.41","276.18","461.46M","0.90%"
"Jan 07, 2018","277.92","273.31","278.11","272.92","337.32M","1.65%"
"Dec 31, 2017","273.42","267.84","273.56","267.40","340.89M","2.46%"
"Dec 24, 2017","266.86","267.05","268.55","266.64","244.12M","-0.24%"
"Dec 17, 2017","267.51","268.10","268.60","266.69","388.54M","0.38%"
"Dec 10, 2017","266.51","265.58","267.56","265.39","516.46M","0.38%"
"Dec 03, 2017","265.51","266.31","266.80","262.71","401.72M","0.40%"
"Nov 26, 2017","264.46","260.41","266.05","260.00","521.04M","1.57%"
"Nov 19, 2017","260.36","258.14","260.48","257.86","190.14M","0.97%"
"Nov 12, 2017","257.86","257.31","259.04","255.63","335.89M","-0.09%"
"Nov 05, 2017","258.09","258.30","259.35","256.36","312.69M","-0.14%"
"Oct 29, 2017","258.45","257.07","258.50","256.19","284.83M","0.29%"
"Oct 22, 2017","257.71","257.48","257.89","254.00","389.93M","0.23%"
"Oct 15, 2017","257.11","255.21","257.14","254.35","261.75M","0.85%"
"Oct 08, 2017","254.95","254.63","255.27","253.65","228.40M","0.23%"
"Oct 01, 2017","254.37","251.49","254.70","251.29","325.96M","1.25%"
"Sep 24, 2017","251.23","249.15","251.32","248.08","322.50M","0.72%"
"Sep 17, 2017","249.44","249.61","250.19","248.92","252.34M","0.10%"
"Sep 10, 2017","249.19","248.04","250.32","248.02","378.37M","1.06%"
"Sep 03, 2017","246.58","247.26","247.52","244.95","271.18M","-0.51%"
"Aug 27, 2017","247.84","245.17","248.33","242.93","319.54M","1.34%"
"Aug 20, 2017","244.56","242.64","245.62","241.83","294.00M","0.76%"
